author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
73779979,2022-01-09 23:58:23+00:00, ,1480328127792525318,qme,4,0,1,0,Twitter Web App,https://t.co/y8odvUnYkH @adhofstra @CroneFerd @dbmeppel @EduardAnnen @EricGrotens @GerrieBijl @GertJanFokkema @GertVeld @KarstWerksma @kla_mar @KOffringa @PakeSeit @Pietadema @Sanderderouwe @SimonHoekstra @stokkersjw
1021811420277694465,2022-01-09 23:48:59+00:00, ,1480325761504530438,nl,1,0,0,0,Twitter for iPhone,Stel je voor je bent gwn aan het schaatsen in Tunfun🤣 https://t.co/Zj8lFHcXw8
47395171,2022-01-09 23:43:17+00:00, ,1480324326704492546,nl,0,0,0,13,Twitter for iPhone,"RT @sporza: Goud op het EK!!! Allemaal de auto in en toeterend rondjes gaan rijden, of doen we dat alleen bij voetbal? 🇧🇪

https://t.co/7QU…"
1269979827299385346,2022-01-09 23:28:52+00:00, ,1480320700271546373,nl,0,0,0,0,Zapier.com,Jillert Anema dropt een bommetje na massastart: ‘Ik heb een medaille al afgeschreven’  https://t.co/IklbTNLPqk
390914157,2022-01-09 23:18:54+00:00, ,1480318191524057091,nl,1,0,0,0,Twitter for Android,"Na #undercover is #denkendaanholland de elfstedentocht editie toch wel de ultieme cooldown, lekker rustgevend"
1459166761052512257,2022-01-09 23:18:05+00:00, ,1480317987274076168,nl,0,0,0,0,Twitter Web App,@Gossinki Dan ben je net op tijd terug voor de Elfstedentocht in Februari😜
1121720262167289856,2022-01-09 23:11:35+00:00, ,1480316350438510594,nl,0,0,0,0,IFTTT,"Nog vijf keer (kans op) een Elfstedentocht als CO2-uitstoot scherp daaltMay 30, 2019 at 02:44PM @ImPblq"
1267719720519766016,2022-01-09 23:08:39+00:00, ,1480315611515342848,nl,0,0,0,3,Twitter for Android,"RT @ienvanderpol: My guilty pleasure. 
Zo heerlijk, André en Janny die de #Elfstedentocht varen. 😃⚓
#DenkendaanHolland #Friesland https://t…"
1331969796141932545,2022-01-09 23:07:54+00:00, ,1480315422750687245,nl,0,0,0,3,Twitter for iPhone,"RT @ienvanderpol: My guilty pleasure. 
Zo heerlijk, André en Janny die de #Elfstedentocht varen. 😃⚓
#DenkendaanHolland #Friesland https://t…"
410811186,2022-01-09 23:02:34+00:00, ,1480314079310983172,nl,1,0,1,0,erased22437223_S29dyJKc0N,"@_birgitje Ik ook hoor, was lastig schaatsen. Heb elfsteden nog gedaan op oude buizen."
1212337797337534467,2022-01-09 22:52:34+00:00, ,1480311566037884931,nl,0,0,0,0,Twitter for Android,@HarryGBrandt Ik ga dat niet ontkennen. Maar vind schaatsen een topsport hoor! Kijk er graag naar. https://t.co/tlsQ2WO9eG
410811186,2022-01-09 22:36:36+00:00, ,1480307545919082497,nl,2,0,1,0,erased22437223_S29dyJKc0N,Andere tijden sport nu. Klapschaats en Gerard van Velden. Ik vond het in het begin ook erg wennen. Het dwong je heel erg om je techniek te verbeteren. Uiteindelijk ben ik er veel beter van gaan schaatsen. #goedeontwikkeling
235524599,2022-01-09 22:31:49+00:00, ,1480306343034724360,nl,0,0,0,4,Twitter for Android,RT @IJsclubSiberia: Bouw mee aan de nieuwe mobiele IJsclub Siberia Schaatsopslag ;-) Onze #Utrecht crowdfunding via #Voorjestadsie gaat gew…
1014074476240297984,2022-01-09 22:25:17+00:00, ,1480304697860837383,nl,0,0,0,3,Twitter for iPhone,"RT @ienvanderpol: My guilty pleasure. 
Zo heerlijk, André en Janny die de #Elfstedentocht varen. 😃⚓
#DenkendaanHolland #Friesland https://t…"
1133990527,2022-01-09 22:22:55+00:00, ,1480304104631148546,nl,0,0,0,3,Twitter for iPhone,"RT @IRMC16: @TKreator71 @RebelBcause85 @helastiekje Ik zag vandaag nog een videootje uit Polen: ijsbaan in de stad, druk, mensen vrolijk sc…"
18985337,2022-01-09 22:21:53+00:00, ,1480303844689068037,nl,9,0,0,0,Twitter for Android,"Met een 😄 naar bed. Terugkijkend naar weer een aflevering van 'Denkend aan Holland, De Elfstedentocht '. André en Janny toveren vanzef een glimlach op je gezicht. @NPO1 @OmroepMAX https://t.co/itfNdH5fPp"
2340079974,2022-01-09 22:20:26+00:00, ,1480303479138799629,nl,0,0,0,0,AfterDawn news alerts,Anema woedend op KNSB: 'We winnen geen olympisch goud op de massastart' https://t.co/Dm09ubDSYI
20722940,2022-01-09 22:18:26+00:00, ,1480302972705906692,nl,0,0,0,1,Twitter for iPhone,RT @schaatsennl: Joep Wennemars steek op een treetje lager ver boven iedereen uit. Daarom was het ook geen verrassing dat het een one-man-s…
487510550,2022-01-09 22:18:04+00:00, ,1480302882888945666,nl,0,0,0,0,dlvr.it,Na al het succes eindigt EK toch met woede: 'De KNSB faalt bij de massastart' - https://t.co/CnsOMT2ssY https://t.co/aCpG1eIsR6
1147519525082079237,2022-01-09 22:07:41+00:00, ,1480300269737062405,nl,0,0,0,0,Twitter for Android,Je mag voor of tegen hem zijn ANEMA coach schaatsen maar gelijk heeft hij wel.die bobo's van de bonden is armoe troef
92084986,2022-01-09 22:05:49+00:00, ,1480299800818036739,nl,0,0,0,1,Twitter for iPhone,RT @ivanverbruggen: @marktuitert als bondscoach. Zou ik wel zien zitten. #EKAfstanden #massastart #schaatsen
92084986,2022-01-09 22:05:16+00:00, ,1480299659369365507,nl,0,0,0,2,Twitter for iPhone,RT @Grouve_Sport: Waarom wordt @marktuitert niet door de KNSB als bondscoach gevraagd? Die weet wat schaatsen is en heeft voldoende EQ en i…
944343403,2022-01-09 22:03:47+00:00, ,1480299288894787586,nl,0,0,0,3,Twitter for iPhone,"RT @sporza: 🥇Goud voor Bart Swings op de massastart op het EK schaatsen ⛸️

https://t.co/7QUIf2aHkq"
282190529,2022-01-09 21:58:30+00:00, ,1480297957941518341,nl,0,0,0,5,Twitter for Android,RT @KNRMHindeloopen: Vanavond bij Max op NPO 1 om 21.30 uur in het programma “Denkend aan Holland” ontmoeten Andre van Duin en Janny van de…
2258745330,2022-01-09 21:51:48+00:00, ,1480296270245904396,nl,0,0,1,0,Twitter for iPhone,@paulinectarine1 Die schaatsen nog laat?
1073525289668526080,2022-01-09 21:46:34+00:00, ,1480294956816384001,nl,0,0,1,0,Twitter for iPhone,@Lynn_faems @KatoDeclerck sni waar wij gaan schaatsen hahah
1072454851131514880,2022-01-09 21:45:58+00:00, ,1480294803510378503,nl,18,0,1,3,Twitter Web App,"@TKreator71 @RebelBcause85 @helastiekje Ik zag vandaag nog een videootje uit Polen: ijsbaan in de stad, druk, mensen vrolijk schaatsen, zonder mondkapje. Zo'n levensgroot verschil."
1450076580957597702,2022-01-09 21:44:44+00:00, ,1480294494780149762,nl,7,0,0,0,Twitter for iPhone,Genoten van mooie no-nonsense-tv @OmroepMAX André en Janny op hun best 👍🏽🥳😀 #denkendaanholland #elfstedentocht #varen #friesemeren #dweilorkest #stempelen
134810937,2022-01-09 21:39:45+00:00, ,1480293239697596416,nl,0,0,0,4,Twitter Web App,"RT @pimbijl: Over veertien onderdelen en elf keer Nederlands goud, een Pool die sorry zegt, het chagrijn over de olympische selectie, een c…"
225465908,2022-01-09 21:37:55+00:00, ,1480292776680038402,nl,95,0,1,1,Twitter for iPhone,"Joep Wennemars steek op een treetje lager ver boven iedereen uit. Daarom was het ook geen verrassing dat het een one-man-show werd tijdens de NK Junioren.

&gt;&gt; https://t.co/wyKOoYYrpn https://t.co/jTrFj2TsqB"
1476007726203510786,2022-01-09 21:37:53+00:00, ,1480292768870277127,nl,1,0,0,0,Twitter for iPhone,"Nederland heerst op EK afstanden en pakt elf van de veertien gouden medailles. Aan een onderdeel niet meegedaan (teamsprinters dames) dus om precies te zijn 11 medailles op 13 onderdelen waaraan Nederland deel nam. Dat is om precies te zijn 84,6 %.  https://t.co/nNRG5vXVtD"
175405072,2022-01-09 21:31:45+00:00, ,1480291225349640194,nl,30,0,3,0,Twitter for iPhone,"Ik beken!
Beiden afleveringen van ‘Denken aan Nederland, de Elfstedentocht’ aan het kijken met Janny en André van Duin.  Heerlijke tv toch! 🤍 #GuiltyPleasure"
